Entity,Code,Year,GDP per capita growth (annual %)
Afghanistan,AFG,2003,3.868380308151245
Afghanistan,AFG,2004,-2.8752031326293945
Afghanistan,AFG,2005,7.207967281341553
Afghanistan,AFG,2006,2.2533106803894043
Afghanistan,AFG,2007,11.022787094116211
Afghanistan,AFG,2008,1.5942155122756958
Afghanistan,AFG,2009,18.515419006347656
Afghanistan,AFG,2010,11.264090538024902
Afghanistan,AFG,2011,-2.681061029434204
Afghanistan,AFG,2012,8.974864959716797
Afghanistan,AFG,2013,1.974165678024292
Afghanistan,AFG,2014,-0.6652910709381104
Afghanistan,AFG,2015,-1.6228572130203247
Afghanistan,AFG,2016,-0.5414161682128906
Afghanistan,AFG,2017,0.06476419419050217
Afghanistan,AFG,2018,-1.194900393486023
Afghanistan,AFG,2019,1.5356366634368896
Afghanistan,AFG,2020,-4.575031757354736
Albania,ALB,1981,3.648648500442505
Albania,ALB,1982,0.7958400845527649
Albania,ALB,1983,-1.016802191734314
Albania,ALB,1984,-3.307497262954712
Albania,ALB,1985,-0.2905953526496887
Albania,ALB,1986,3.6146554946899414
Albania,ALB,1987,-2.7494964599609375
Albania,ALB,1988,-3.2625222206115723
Albania,ALB,1989,6.923617362976074
Albania,ALB,1990,-11.187905311584473
Albania,ALB,1991,-27.56682014465332
Albania,ALB,1992,-6.622551441192627
Albania,ALB,1993,10.229948997497559
Albania,ALB,1994,8.969761848449707
Albania,ALB,1995,14.024496078491211
Albania,ALB,1996,9.780179977416992
Albania,ALB,1997,-10.361104965209961
Albania,ALB,1998,9.516484260559082
Albania,ALB,1999,13.60806941986084
Albania,ALB,2000,7.6300225257873535
Albania,ALB,2001,9.314396858215332
Albania,ALB,2002,4.850475311279297
Albania,ALB,2003,5.924211502075195
Albania,ALB,2004,5.956569671630859
Albania,ALB,2005,6.067882537841797
Albania,ALB,2006,6.572923183441162
Albania,ALB,2007,6.787229061126709
Albania,ALB,2008,8.328108787536621
Albania,ALB,2009,4.053139686584473
Albania,ALB,2010,4.223083972930908
Albania,ALB,2011,2.8216423988342285
Albania,ALB,2012,1.584872841835022
Albania,ALB,2013,1.1872344017028809
Albania,ALB,2014,1.9853880405426025
Albania,ALB,2015,2.51682710647583
Albania,ALB,2016,3.4802932739257812
Albania,ALB,2017,3.897740602493286
Albania,ALB,2018,4.276325702667236
Albania,ALB,2019,2.549358606338501
Albania,ALB,2020,-3.4023168087005615
Algeria,DZA,1961,-15.72768497467041
Algeria,DZA,1962,-21.644506454467773
Algeria,DZA,1963,31.01054573059082
Algeria,DZA,1964,3.164562940597534
Algeria,DZA,1965,3.4211299419403076
Algeria,DZA,1966,-7.400137901306152
Algeria,DZA,1967,6.382562160491943
Algeria,DZA,1968,7.64544677734375
Algeria,DZA,1969,5.363105297088623
Algeria,DZA,1970,5.827686309814453
Algeria,DZA,1971,-13.759806632995605
Algeria,DZA,1972,23.97504234313965
Algeria,DZA,1973,1.0123777389526367
Algeria,DZA,1974,4.571496963500977
Algeria,DZA,1975,2.1440958976745605
Algeria,DZA,1976,5.3538899421691895
Algeria,DZA,1977,2.2827374935150146
Algeria,DZA,1978,6.08138370513916
Algeria,DZA,1979,4.33359956741333
Algeria,DZA,1980,-2.2184722423553467
Algeria,DZA,1981,-0.13109661638736725
Algeria,DZA,1982,3.1298828125
Algeria,DZA,1983,2.158496618270874
Algeria,DZA,1984,2.3893189430236816
Algeria,DZA,1985,0.6121870875358582
Algeria,DZA,1986,-2.5155529975891113
Algeria,DZA,1987,-3.5063812732696533
Algeria,DZA,1988,-3.7103123664855957
Algeria,DZA,1989,1.6441892385482788
Algeria,DZA,1990,-1.7540764808654785
Algeria,DZA,1991,-3.6010823249816895
Algeria,DZA,1992,-0.5647887587547302
Algeria,DZA,1993,-4.250986576080322
Algeria,DZA,1994,-2.9311165809631348
Algeria,DZA,1995,1.8364105224609375
Algeria,DZA,1996,2.290823459625244
Algeria,DZA,1997,-0.5199023485183716
Algeria,DZA,1998,3.5343685150146484
Algeria,DZA,1999,1.748703122138977
Algeria,DZA,2000,2.399496555328369
Algeria,DZA,2001,1.6596726179122925
Algeria,DZA,2002,4.2620720863342285
Algeria,DZA,2003,5.84090518951416
Algeria,DZA,2004,2.934541702270508
Algeria,DZA,2005,4.438257694244385
Algeria,DZA,2006,0.2147921472787857
Algeria,DZA,2007,1.8082525730133057
Algeria,DZA,2008,0.7381945252418518
Algeria,DZA,2009,-0.13468188047409058
Algeria,DZA,2010,1.7467906475067139
Algeria,DZA,2011,0.98021000623703
Algeria,DZA,2012,1.4017475843429565
Algeria,DZA,2013,0.761699378490448
Algeria,DZA,2014,1.7104549407958984
Algeria,DZA,2015,1.6004936695098877
Algeria,DZA,2016,1.1045701503753662
Algeria,DZA,2017,-0.750456690788269
Algeria,DZA,2018,-0.9092457890510559
Algeria,DZA,2019,-0.9345558881759644
Algeria,DZA,2020,-6.826963424682617
American Samoa,ASM,2003,0.2561536729335785
American Samoa,ASM,2004,0.09187046438455582
American Samoa,ASM,2005,-0.1957925409078598
American Samoa,ASM,2006,-3.3715012073516846
American Samoa,ASM,2007,3.146660089492798
American Samoa,ASM,2008,-1.172397255897522
